Churn_Score,Total_Charges,Tenure_Months,Monthly_Charge,Contract_Month-to-month,CLTV,Latitude,Zip_Code,Longitude,Online_Security,Churn_Label,Senior_Citizen,Partner,Dependents,Paperless_Billing,Tech_Support,Device_Protection,Payment_Method_Bank transfer (automatic),Payment_Method_Credit card (automatic),Payment_Method_Electronic check,Payment_Method_Mailed check,Internet_Service_DSL,Internet_Service_Fiber optic,Internet_Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,CustomerID
86,108.15,2,53.85,TRUE,3239,33.964131,90003,-118.272783,1,1,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3668-QPYBK
67,151.65,2,70.7,TRUE,2701,34.059281,90005,-118.30742,0,1,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9237-HQITU
86,820.5,8,99.65,TRUE,5372,34.048013,90006,-118.293953,0,1,0,0,1,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9305-CDSKC
84,3046.05,28,104.8,TRUE,5003,34.062125,90010,-118.315709,0,1,0,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7892-POOKP
89,5036.3,49,103.7,TRUE,5340,34.039224,90015,-118.266293,0,1,0,0,1,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0280-XJGEX
78,528.35,10,55.2,TRUE,5925,34.066367,90020,-118.309868,0,1,0,1,0,0,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4190-MFLUW
100,39.65,1,39.65,TRUE,5433,34.02381,90022,-118.156582,0,1,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8779-QRDMV
92,20.15,1,20.15,TRUE,4832,34.066303,90024,-118.435479,,1,0,0,0,0,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1066-JKSGK
77,4749.15,47,99.35,TRUE,5789,34.099869,90028,-118.326843,0,1,0,1,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6467-CHFZW
97,30.2,1,30.2,TRUE,2915,34.089953,90029,-118.294824,0,1,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8665-UTDHZ
74,1093.1,17,64.7,TRUE,3022,34.078821,90032,-118.177576,0,1,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8773-HHUOZ
66,316.9,5,69.7,TRUE,2454,34.110845,90039,-118.259595,0,1,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6047-YHPVI
